,food_name,codezip,rating,reviews,dollar,address
0,Quán Phố Biển,720400,4.0,29, ,474 Tô Ngọc Vân
1,Quán Phở Bò,720400,4.9,9, ,3 Đường số 10
2,Phở Huỳnh Trâm,720400,4.1,"1,361",₩₩,640 QL13
3,Phở Thy,720400,4.6,89,₩₩,09 Einstein
4,Nhà hàng Bên Sông,720400,4.2,"5,480",₩₩,88 Đ. 26
